IdLista;IdProducto;Importe;Porcentaje;cantidadminima
2;7989;171;16,4484023;1
4;7989;171;16,4484023;1
1;963;30;528,2985675;1
2;963;8;67,54628466;1
4;963;7;46,60299908;1
1;18213;500;110,9083485;1
2;18213;310;30,76317608;1
4;18213;291;22,74865883;1
1;13804;80;572,8778468;1
2;13804;46;286,9047619;1
4;13804;42;253,2608696;1
1;2754;400;78,10231978;1
2;2754;292;30,01469344;1
4;2754;282;25,56213545;1
1;11227;220;121,9468131;1
2;11227;125;26,10614382;1
4;11227;121;22,07074722;1
1;8906;140;119,8067633;1
2;8906;80;25,60386473;1
1;3381;50;1128,19946;1
2;3381;27;563,2277082;1
4;3381;22;440,4077622;1
4;8906;75;17,75362319;1
1;18294;430;169,7785306;1
2;18294;271;70,0232135;1
4;18294;256;60,61233453;1
1;18527;700;67,83697793;1
2;18527;534;28,03563745;1
4;18527;510;22,28122678;1
4;11859;59;41,30834218;1
1;11859;220;426,9124624;1
2;11859;65;55,67868206;1
1;14807;500;65,4373694;1
2;14807;378;25,07065127;1
4;14807;359;18,78403123;1
1;10783;220;426,9124624;1
2;10783;65;55,67868206;1
4;10783;59;41,30834218;1
2;18420;74;75,81373248;1
1;18420;140;232,620575;1
4;18420;67;59,18270373;1
1;822;70;839,791387;1
2;822;30;302,7677373;1
4;822;30;302,7677373;1
1;8661;120;461,0098177;1
2;8661;33;54,27769986;1
4;8661;30;40,25245442;1
1;18432;270;155,7544757;1
2;18432;181;71,4502226;1
4;18432;169;60,08335701;1
1;18341;230;197,6190476;1
2;18341;133;72,10144928;1
4;18341;125;61,7494824;1
1;13293;220;426,9124624;1
2;13293;65;55,67868206;1
4;13293;59;41,30834218;1
1;17685;490;86,65709062;1
2;17685;352;34,08835898;1
4;17685;329;25,32690371;1
1;12615;190;178,225216;1
2;12615;102;49,36301069;1
4;12615;97;42,04129448;1
4;15583;59;41,30834218;1
1;15583;220;426,9124624;1
2;15583;65;55,67868206;1
1;16232;170;224,1799726;1
2;16232;90;71,62469138;1
4;16232;85;62,0899863;1
2;12222;246;231,0559006;1
4;12222;164;120,7039337;1
1;12222;340;357,5569358;1
4;3931;18;128,6272594;1
1;16531;640;73,77138203;1
2;16531;464;25,98425197;1
4;16531;454;23,26907412;1
1;3931;60;662,0908647;1
2;3931;20;154,0302882;1
4;10934;533;25,14087153;1
1;10934;780;83,13298272;1
2;10934;554;30,07137491;1
1;2812;70;1393,027071;1
2;2812;28;497,2108285;1
1;16564;270;201,0033445;1
2;16564;154;71,68338907;1
4;16564;145;61,64994426;1
2;323;26;199,3844805;1
4;323;23;164,8401173;100
